from	to
Perknaster densus	Baseodiscus antarcticus
Perknaster densus	Odontaster validus
Perknaster densus	Glyptonotus antarcticus
Perknaster densus	Labidiaster annulatus
Perknaster sladeni	Parborlasia corrugatus
Perknaster sladeni	Lineus longifissus
Perknaster sladeni	Baseodiscus antarcticus
Perknaster sladeni	Odontaster validus
Perknaster sladeni	Glyptonotus antarcticus
Perknaster sladeni	Labidiaster annulatus
Notioceramus anomalus	Parborlasia corrugatus
Notioceramus anomalus	Lineus longifissus
Notioceramus anomalus	Baseodiscus antarcticus
Notioceramus anomalus	Odontaster validus
Notioceramus anomalus	Glyptonotus antarcticus
Notioceramus anomalus	Labidiaster annulatus
Notasterias stylophora	Parborlasia corrugatus
Notasterias stylophora	Lineus longifissus
Notasterias stylophora	Baseodiscus antarcticus
Notasterias stylophora	Odontaster validus
Notasterias stylophora	Glyptonotus antarcticus
Notasterias stylophora	Labidiaster annulatus
Cycethra verrucosa mawsoni	Parborlasia corrugatus
Cycethra verrucosa mawsoni	Lineus longifissus
Cycethra verrucosa mawsoni	Baseodiscus antarcticus
Cycethra verrucosa mawsoni	Odontaster validus
Cycethra verrucosa mawsoni	Glyptonotus antarcticus
Cycethra verrucosa mawsoni	Labidiaster annulatus
Kampylaster incurvatus	Parborlasia corrugatus
Kampylaster incurvatus	Lineus longifissus
Kampylaster incurvatus	Baseodiscus antarcticus
Kampylaster incurvatus	Odontaster validus
Kampylaster incurvatus	Glyptonotus antarcticus
Kampylaster incurvatus	Labidiaster annulatus
Solaster dawsoni	Parborlasia corrugatus
Solaster dawsoni	Lineus longifissus
Solaster dawsoni	Baseodiscus antarcticus
Solaster dawsoni	Odontaster validus
Solaster dawsoni	Glyptonotus antarcticus
Solaster dawsoni	Labidiaster annulatus
Cuenotaster involutus	Parborlasia corrugatus
Cuenotaster involutus	Lineus longifissus
Cuenotaster involutus	Baseodiscus antarcticus
Cuenotaster involutus	Odontaster validus
Cuenotaster involutus	Glyptonotus antarcticus
Cuenotaster involutus	Labidiaster annulatus
Bathybiaster loripes	Parborlasia corrugatus
Bathybiaster loripes	Lineus longifissus
Bathybiaster loripes	Baseodiscus antarcticus
Bathybiaster loripes	Odontaster validus
Bathybiaster loripes	Glyptonotus antarcticus
Bathybiaster loripes	Labidiaster annulatus
Acodontaster capitatus	Parborlasia corrugatus
Acodontaster capitatus	Lineus longifissus
Acodontaster capitatus	Baseodiscus antarcticus
Acodontaster capitatus	Odontaster validus
Acodontaster capitatus	Glyptonotus antarcticus
Acodontaster capitatus	Labidiaster annulatus
Yolida eightsi	Parborlasia corrugatus
Yolida eightsi	Lineus longifissus
Yolida eightsi	Baseodiscus antarcticus
Yolida eightsi	Notasterias stylophora
Yolida eightsi	Solaster dawsoni
Yolida eightsi	Bathybiaster loripes
Yolida eightsi	Marseniopsis conica
Yolida eightsi	Harpovoluta charcoti
Yolida eightsi	Pareledone antarctica
Yolida eightsi	Pareledone charcoti
Yolida eightsi	Marseniopsis mollis
Yolida eightsi	Astrotoma agassizii
Yolida eightsi	Ophiurolepis gelida
Yolida eightsi	Ophiurolepis brevirima
Yolida eightsi	Lysasterias perrieri
Yolida eightsi	Pteraster affinis aculeatus
Yolida eightsi	Notasterias armata
Yolida eightsi	Lophaster gaini
Yolida eightsi	Eunoe spica
Yolida eightsi	Dolloidraco longedorsalis
Yolida eightsi	Macroptychaster accrescens
Yolida eightsi	Trophon longstaffi
