Network	Predator_name	Prey_name
Regional	Oediceroides calmani	Amphipoda
Regional	Maxilliphimedia longipes	Cnidaria
Regional	Maxilliphimedia longipes	Urticinopsis antarctica
Regional	Maxilliphimedia longipes	Anthozoa
Regional	Maxilliphimedia longipes	Hydrozoa
Regional	Gnathiphimedia mandibularis	Bryozoa
Regional	Gnathiphimedia mandibularis	Brachiopoda
Regional	Gnathiphimedia mandibularis	Porifera
Regional	Echiniphimedia hodgsoni	Porifera
Regional	Echiniphimedia hodgsoni	Detritus
Regional	Iphimediella cyclogena	Holothuria
Regional	Iphimediella cyclogena	Polychaeta
Regional	Paraceradocus gibber	Amphipoda
Regional	Paraceradocus gibber	Bacillariophyta
Regional	Paraceradocus gibber	Detritus
Regional	Liljeborgia georgiana	Crustacea
Regional	Liljeborgia georgiana	Amphipoda
Regional	Liljeborgia georgiana	Euphausiacea
Regional	Liljeborgia georgiana	Copepoda
Regional	Liljeborgia georgiana	Polychaeta
Regional	Liljeborgia georgiana	Eucranta mollis
Regional	Liljeborgia georgiana	Eunoe spica
Regional	Liljeborgia georgiana	Cnidaria
Regional	Liljeborgia georgiana	Porifera
Regional	Momoculodes scabriculosus	Detritus
Regional	Uristes gigas	Crustacea
Regional	Uristes gigas	Amphipoda
Regional	Uristes gigas	Euphausiacea
Regional	Uristes gigas	Porifera
Regional	Uristes gigas	Bacillariophyta
Regional	Eurythenes gryllus	Amphipoda
Regional	Eurythenes gryllus	Eurythenes gryllus
Regional	Eurythenes gryllus	Ophiuroidea
Regional	Eurythenes gryllus	Hydrozoa
Regional	Eurythenes gryllus	Urticinopsis antarctica
Regional	Eurythenes gryllus	Anthozoa
Regional	Eurythenes gryllus	Porifera
Regional	Eurythenes gryllus	Polychaeta
Regional	Eurythenes gryllus	Holothuria
Regional	Eurythenes gryllus	Isopoda
Regional	Eurythenes gryllus	Crustacea
Regional	Eurythenes gryllus	Detritus
Regional	Bathypanoploea schellenbergi	Urticinopsis antarctica
Regional	Bathypanoploea schellenbergi	Anthozoa
Regional	Bathypanoploea schellenbergi	Bacillariophyta
Regional	Bathypanoploea schellenbergi	Crustacea
Regional	Bathypanoploea schellenbergi	Holothuria
Regional	Bathypanoploea schellenbergi	Bryozoa
Regional	Pseudorchomene coatsi	Detritus
Regional	Heterophoxus videns	Polychaeta
Regional	Heterophoxus videns	Eucranta mollis
Regional	Heterophoxus videns	Eunoe spica
Regional	Heterophoxus videns	Laetmonice producta
Regional	Heterophoxus videns	Tanaidacea
Regional	Heterophoxus videns	Copepoda
Regional	Heterophoxus videns	Porifera
Regional	Heterophoxus videns	Bacillariophyta
Regional	Heterophoxus videns	Foraminifera
Regional	Heterophoxus videns	Nematoda
Regional	Heterophoxus videns	Crustacea
Regional	Haplocheira plumosa	Phytoplankton
Regional	Haplocheira plumosa	Detritus
Regional	Oradarea edentata	Phytoplankton
Regional	Djerboa furcipes	Phytoplankton
Regional	Rhachotropis antarctica	Euphausiacea
Regional	Rhachotropis antarctica	Copepoda
Regional	Rhachotropis antarctica	Amphipoda
Regional	Rhachotropis antarctica	Polychaeta
Regional	Rhachotropis antarctica	Bacillariophyta
Regional	Rhachotropis antarctica	Cnidaria
Regional	Notocrangon antarcticus	Bacillariophyta
Regional	Notocrangon antarcticus	Foraminifera
Regional	Notocrangon antarcticus	Porifera
Regional	Notocrangon antarcticus	Gastropoda
Regional	Notocrangon antarcticus	Bivalvia
Regional	Notocrangon antarcticus	Yoldiella eightsi
Regional	Notocrangon antarcticus	Polychaeta
Regional	Notocrangon antarcticus	Mysidacea
Regional	Notocrangon antarcticus	Holothuria
Regional	Chorismus antarcticus	Bacillariophyta
Regional	Chorismus antarcticus	Corethron sp.
Regional	Chorismus antarcticus	Zooplankton
Regional	Chorismus antarcticus	Foraminifera
Regional	Chorismus antarcticus	Porifera
Regional	Chorismus antarcticus	Nematoda
Regional	Chorismus antarcticus	Gastropoda
Regional	Chorismus antarcticus	Yoldiella eightsi
Regional	Chorismus antarcticus	Polychaeta
Regional	Chorismus antarcticus	Eucranta mollis
Regional	Chorismus antarcticus	Eunoe spica
Regional	Chorismus antarcticus	Laetmonice producta
Regional	Chorismus antarcticus	Eulagisca gigantea
Regional	Chorismus antarcticus	Barrukia cristata
Regional	Chorismus antarcticus	Amphipoda
Regional	Chorismus antarcticus	Isopoda
Regional	Chorismus antarcticus	Taeniogyrus contortus
Regional	Nematocarcinus lanceopes	Bacillariophyta
Regional	Nematocarcinus lanceopes	Zooplankton
Regional	Nematocarcinus lanceopes	Tintinnidae
Regional	Nematocarcinus lanceopes	Phytoplankton
Regional	Nematocarcinus lanceopes	Euchaeta antarctica
Regional	Rhincalanus gigas	Bacillariophyta
Regional	Rhincalanus gigas	SilicioZooplanktons
Regional	Rhincalanus gigas	Zooplankton
Regional	Rhincalanus gigas	Tintinnidae
Regional	Rhincalanus gigas	Oithona sp.
Regional	Rhincalanus gigas	Oncaea sp.
Regional	Rhincalanus gigas	Coelenterata
Regional	Calanus propinquus 	Bacillariophyta
Regional	Calanus propinquus 	SilicioZooplanktons
Regional	Calanus propinquus 	Zooplankton
Regional	Calanus propinquus 	Tintinnidae
Regional	Calanus propinquus 	Euchaeta antarctica
Regional	Calanus propinquus 	Oithona sp.
Regional	Calanus propinquus 	Copepoda
Regional	Calanus propinquus 	Coelenterata
Regional	Calanoides acutus 	Bacillariophyta
Regional	Calanoides acutus 	SilicioZooplanktons
Regional	Calanoides acutus 	Zooplankton
Regional	Calanoides acutus 	Tintinnidae
Regional	Calanoides acutus 	Copepoda
Regional	Calanoides acutus 	Oithona sp.
Regional	Calanoides acutus 	Oncaea sp.
Regional	Calanoides acutus 	Pelagobia longicirrata
Regional	Metridia gerlachei 	Bacillariophyta
Regional	Metridia gerlachei 	SilicioZooplanktons
Regional	Metridia gerlachei 	Zooplankton
Regional	Metridia gerlachei 	Tintinnidae
Regional	Metridia gerlachei 	Copepoda
Regional	Metridia gerlachei 	Oithona sp.
